ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long,customer_num_trans_1_day,customer_num_trans_7_day,customer_num_trans_30_day,trans_time_secs,trans_time_hrs,trans_time_is_night,trans_time_day,trans_date_is_weekend,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day
609-40-9797,30020176934471,Paul,Kim,M,4621 Thompson Cove,San Jose,CA,95112,37.3476,-121.887,973849,"Engineer, broadcasting (operations)",1997-11-25,876372102982,adults_2550_male_urban.json,904d01dd87465dfe46ff54d8232bd59e,2022-12-27,17:14:17,1672157657,health_fitness,12.88,0,fraud_Rippin-VonRueden,36.512846,-121.84998,1,2,10,64560,19,0,1,0,4.09,70.79,67.22,2649.02,2351.67,941934.08,6,7,23,11
641-63-2541,213176425220945,Sonya,Ramos,F,37505 Barrett Oval,San Antonio,TX,78229,29.5042,-98.5697,1595797,IT consultant,1992-09-03,505699650751,adults_2550_female_urban.json,ab33d6a058ee43b77b580d938309f7a6,2022-05-15,08:20:03,1652599203,gas_transport,197.78,0,fraud_Torp-Labadie,30.019795,-98.715182,3,7,13,85905,14,0,6,1,46.77,68.61,64.02,940.94,27361.41,880421.96,4,5,10,49
266-27-0175,4152725978336741,Rachel,Brown,F,05994 Watts Road,San Gabriel,CA,91776,34.089,-118.0955,62463,"Nurse, adult",1959-12-29,809991736919,adults_50up_female_urban.json,d20b85b00dc8d1915dc2d0ef675de749,2022-07-16,07:03:49,1657951429,grocery_pos,4.42,0,"fraud_Schultz, Simonis and Little",34.326671,-118.993722,5,10,20,51427,10,0,5,1,27.23,22.89,64.08,2933.53,70703.84,583031.81,0,7,19,26
496-87-6135,4759251232976724,Sandra,Blevins,F,98556 Christopher Loaf,Austin,TX,78749,30.2166,-97.8508,940359,Architect,2003-09-26,924969338199,young_adults_female_urban.json,6efd556c64f94c8aaf4ae038c3c40b41,2022-07-22,18:06:52,1658509612,grocery_pos,28.41,0,fraud_Kiehn-Emmerich,29.240895,-97.352335,5,10,18,56196,12,0,4,0,77.15,44.27,28.13,1759.07,37210.15,959475.61,0,7,8,50
295-44-4195,4205591739652099531,Toni,Vaughan,F,07178 Hernandez Bypass Suite 335,Houston,TX,77046,29.733,-95.4306,2906700,Media buyer,1936-12-17,722839160189,adults_50up_female_urban.json,a87016587e5f731c43c083f632355971,2023-03-15,12:30:26,1678879826,kids_pets,5.33,0,fraud_Lubowitz-Walter,28.888575,-95.759834,3,7,16,50289,5,0,2,0,89.72,84.43,44.63,3349.91,36677.06,109817.53,5,9,9,26
102-55-1950,30148397052383,Raymond,Flores,M,2655 Chan Crossroad,Fort Worth,TX,76132,32.6711,-97.4056,813980,Exhibition designer,1986-04-21,556579119865,adults_2550_male_urban.json,0a8ba42f4eb848d9efdf542cdf6975fc,2022-09-04,16:22:26,1662304946,misc_pos,31.18,0,fraud_Kemmer-Buckridge,33.59196,-97.098384,1,6,16,54036,2,1,6,1,30.48,24.4,58.41,1688.31,97146.85,804359.46,2,3,14,8
746-46-6297,3574220556113797,Maria,Mccall,F,9931 Solomon Estate,Fort Worth,TX,76104,32.7256,-97.3184,813980,Patent attorney,1994-12-03,249715453507,adults_2550_female_urban.json,e4c901edc575ac136113d9cfae69172e,2022-06-13,01:33:12,1655080392,grocery_pos,68.54,0,fraud_Bailey-Morar,33.01739,-96.51063,3,3,10,38177,18,0,0,0,69.18,15.82,48.2,1271.72,24853.03,524612.03,7,15,15,37
314-62-6746,2248980022861521,Hannah,Green,F,36861 Wilson Manor Suite 475,Baltimore,MD,21213,39.3127,-76.581,635495,Museum education officer,2002-07-23,210570357079,young_adults_female_urban.json,0b08214b6fcb1de4c638aec6b17f788a,2022-09-10,14:56:27,1662818187,shopping_net,61.92,0,fraud_Cormier LLC,39.248311,-76.404123,5,10,19,26019,20,0,5,1,70.27,61.03,7.39,1638.95,69308.18,660982.07,5,13,13,44
768-92-2662,180032540124240,Steven,Graham,M,0252 Frazier Neck,Bixby,MO,65439,37.6722,-91.0835,259,Risk analyst,1980-06-04,488269587494,adults_2550_male_rural.json,9fd03ba7fcf18c4d6ffdc278aedbbe80,2022-07-25,07:55:45,1658732145,misc_pos,105.02,0,fraud_Torp-Lemke,37.268605,-91.70719,2,5,12,25415,0,1,0,0,85.98,35.6,68.35,4274.0,83007.16,989676.31,3,5,11,47
834-31-0534,4890932253332023512,Andrew,Pacheco,M,0193 Campbell Underpass Apt. 369,Waldorf,MD,20601,38.6371,-76.8778,78078,Retail merchandiser,1987-03-08,609082881664,adults_2550_male_urban.json,ed5769734541a66a2943a56d93e49bcd,2022-10-12,17:53:45,1665593625,shopping_pos,133.21,0,fraud_Denesik and Sons,38.913263,-77.185128,2,6,13,62812,1,1,2,0,31.37,83.17,62.05,1574.82,12875.35,843033.54,6,9,14,47
774-54-3817,180030634811359,Samantha,Perez,F,9501 Jackson Prairie,Atlanta,GA,30329,33.8236,-84.3214,900273,"Scientist, research (maths)",1990-05-28,114265995142,adults_2550_female_urban.json,7c27047fa421921f9acd96896b6abcd0,2022-07-10,03:48:33,1657421313,grocery_pos,177.46,0,fraud_O'Keefe-Hudson,33.077708,-84.137155,0,1,11,27826,21,1,6,1,63.47,54.17,25.0,3572.44,89294.91,401543.57,0,9,13,45
